content,score
"Aplikasi nya bagus dan sangat membantu aku yang mood swing. Kemarin sempat ada kendala, lalu mention akun riliv di twt, langsung ditanggapi dan akhirnya lancar jaya kembali Saran : Konten lelap nya tolong diperbanyak",5
"Thanks banget buat development karna udh bikin apps ini. Ketika lg stress, frustasi, n emosi, apps ini membantu banget buat melepas hal-hal itu semua dr pikiran kmu.. rekomen buat kamu yg overthingking..✨✨",5
"Aplikasi ini recommended sekali untuk yang lagi ngerasa sepi atau depresi atau rasa cemas seperti saya. Mau cerita dikit nih, Jadi hari ini 11 Juni 2020 adalah hari ulang tahun ku, tapi tak ada satupun orang yang mengucapkan selamat ulang tahun padaku 😢. Aku introvert, tapi aku sangat ingin mereka tau tentangku tapi aku pun tak mau terbuka. Sedih dan sepi selalu datang menghampiri, trus aku nemuin aplikasi ini, coba meditasi dan malam ini aku merasa lebih baik. Terimakasih banyak Riliv 😊",5
"Fiks.. bagus banget aplikasi nya, apalagi untuk remaja dimana banyak hal baru yang kita rasakan aplikasi ini worth it banget untuk menemani perubahan perubahan di dunia 'remaja' , aplikasi ini bukan hanya untuk orang orang yang punya masalah a.k.a stres a.k.a depresi tapi untuk yang sedang baik baik saja aku rasa worth sih untuk pakai aplikasi ini.",5
Tampilannya sangat ramah dengan banyak fitur didalamnya. Fitur-fiturnya sangat membantu diri saya. Terimakasih.🙏😁😁,5
"Isi materinya bagus, meditasinya pun membantu bgt, jd bikini addict meditasi. Fitur tidur lelapnya asik jg trutama crita lelap, tp yaa sama, srg putus jg. Klo bs jg, tmbahin trus crita lelapnya. Edited, udah lancar app-nya skrg",5
"Terimakasih riliv saya merasa sangat terbantu dalam meregulasi emosi saya lebih baik lagii.. ini adalah aplikasi kesehatan mental terbaik yang pernah saya ketahui, tapi setelah diupdate kok ngga ada fitur pencarian di laman artikel lagii?mohon di adakan lagii agar bisa lebih memudahkan mencari topik/artikel yang sedang saya butuhkan 🙏 thks, keep grow up",5
"Bagus banget, seminggu ini aku agak lebih tenang dan ga overthinking, saran untuk kegiatan event kayak webinar gitu jadwal nya bisa dilihat juga di aplikasi jadi temen temen yang pengen nambah ilmu and diskusi bisa ikut di opsi kegiatan min hehehe, semoga semakin sukses dan makin keren aplikasinya",5
"Karna g ada bibi yg ngurus rmh, setahun ini gtw hrs curhat sma siapa. Sampe ketemu riliv, aku bisa ngeluh soal masalah sklh, family, dll (macem2 topikny). Paling suka klo pas buka riliv ditanyain ""Bagaimana perasaanmu saat ini?"". Disitu seneng bgt, cuz merasa akhirny ada yg tau feel n mood ku disaat merasa butuh. Meditasi, konseling n journalnya jg oke, thanks y riliv <3",5
"Assalamualaikum.... terima kasih riliv aplikasi ini sangat membantu banyak orang. Dan saya menyadari bahwa berkonsultasi ke psikolog itu bukan hanya mereka yang mengalami tekanan atau apapun, tetapi setiap orang perlu untuk kesehatan mental yang baik. Sehingga kita bisa lebih teratur kembali menjalani kehidupan penuh kebahagiaan. Terima kasih. Aplikasi ini bagus sekali untuk setiap orang yang peduli terhadap diri dan mentalnya 😊.Wassalamualaikum wr.wb",5
"Keren bgt aplikasi nya .. baru download,baru coba sekali .. buat ibu2 aktif seperti saya ini sangat membantu di malam hari kala kita sudah letih dengan keseharian yang itu2 aja .. semoga riliv berkembang pesat .. saya bakal recommend bgt nih ke semua temen2 ibu2 sosial saya.. 🙏👍🥰",5
"Bagus, mudah digunakan, tetapi masih ada beberapa bug mungkin kedepannya dapat diperbaiki, dan semoga lebih banyak pelajaran meditasi yang gratis 👍",5
"Saya merasa lebih lega dan tenang ketika menggunakan aplikasi untuk pertama kalinya pada saat meditasi dasar hidup menjadi lebih damai rasanya,rasa cemas pun mulai hilang pokoknya. RECOMENDED bngt buat kalian yg ingin cari ketenangan dan kedamaian.👍👍👍👍",5
Aplikasi yang bagus banget. Baru pertama kali meditasi aja udah ngaruh banget. Bener2 rileks dan tenang. Untuk konselingnya. Lumayan ko. Aku ngerasa aman konseling di riliv,5
Aku baru download aplikasi ini karena aku penasaran dan hasilnya sangat bagus..meditasi nya benar-benar membuat aku tenang dari sebelumnya..pakai kode referal aku (dKcEIG) supaya kalian bisa mendapat meditasi gratis selama 7 hari.Tingkatkan terus ya dan terima kasih 😊,5
"sangat membantu dalam self healing dari stress, kerjaan, masalah, dll. mudah di akses karena kerjasama dgn univ, tapi worthed it bgt klo langganan pribadi. thanks riliv",5
"Lengkap banget fitur-fiturnya. Cocok buat menjaga kesehatan mental kita. Agar lebih optimal pakai versi premium sih, harganya pun juga terjangkau banget. Terimakasih yang udah ciptain app ini",5
Aplikasi ini bener bener bagus si. Aku sering bgt mengalami anxiety. aku coba buat meditasi sama atur pernafasan alhamdulillah mood ku balik normal lagi,5
"Aplikasi yang sangat membantu, untuk meningkatkan kesehatan mental.. Terutama untuk ysng sedang dilanda stress..",5
"Permisi kak admin Mohon maaf & Berterimakasih nih sya sdh berlanggan dan sya sdh selesai pengobatan, nah.. maka dari itu sya menghapus apk Riliv.. karena penyimpanan hp sya hampir penuh. Namun tanpa sya sadari apk Riliv memberikan notifikasi setiap hari pd jam yg dlu sya tentukan untk meditasi. Saya kira notifikasinya bakalan hilang ketika apk Rilivnya di hapus.. eh malah ada setiap hari & selamanya. Tolong berikan saya solusi untuk menghilangkan notifikasi & kedepanya hrp di perbaiki🙏 J ⭐+1",5
"Saran aja sih, lebih baik ditambah fitur download sesi meditasinya supaya pas gak ada sinyal bisa tetep pake riliv.. Dan bisa offline juga.. Terima kasih🙂",5
Aplikasi yang sangat ngebantu banget buat pekerja kaya aku yg susah buat cari waktu luang pergi ke psikolog. Karna disini tuh kita bisa konseling dgn psikolog profesional tp waktunya fleksibel :),5
"Sangat membantu untuk lebih tenang. Saya mau tanya kenapa ya aplikasinya baru 1 kali pakai masih bisa, tapi besoknya selalu bertuliskan ""TIDAK ADA KONEKSI INTERNET"" Padahal internet saya lancar-lancar aja paket data juga masih ada kenapa ya mohon info dan bantuannya 🙏🏻 agar dengan aplikasi ini mental saya bisa sembuh 🙏🏻",5
"Aplikasi Riliv cocok untuk orang yang membutuhkan pertolongan dalam hal mental . Salah satunya meditasi , meditasi di riliv buat aku jadi relax , melepas kepenatan dan kegelisahan yang kita miliki. Aplikasi ini juga cocok untuk remaja kayak aku . Jadi kalau kalian mau dowload aplikasi riliv untuk memulihkan mental dan jiwa kalian kalian harus donwload .",5
"Terima kasih riliv, pertama ngikutin riliv di tiktok dan akhir nya tau kalau ternyata mereka punya aplikasi saya langsung download dan ternyata aplikasi nya cukup membantu.",5
"Terimakasih Riliv, pertama kali tau Riliv karena baca bukunya. Setelah itu install Aplikasinya terus beli yang premium biar bisa lebih banyak buka, dengan harga Rp. 250 Ribu dalam 1 Tahun. Manfaat yang saya peroleh lebih banyak dari uang yang saya keluarkan.. sekali lagi saya ucapkan terimakasih.",5
"Bagus banget🥺😭. Bisa memberi motivasi, bisa menenangkan pikiran. Saya sedang kesepian dan membutuhkan teman. Semua teman saya saat ini semuanya menjauh😔. Saya tidak tau harus bagaimana. Saya ingin curhat, tapi saya tidak punya teman curhat. Saya pun melihat di google aplikasi yg bisa di ajak curhat. Dan saya menemukan apk ini. Apk ini sangat membantu. Terimakasih Riliv",5
Aplikasi yang sangat membantu! Membuat tidurku lebih nyenyak dan kestabilan emosiku sedikit sedikit lebih baik Terimakasih riliv!,5
"jatuh cinta sama aplikasinya, udah lama saya pakai aplikasinya, saya selalu ikuti perkembangan riliv, sekarang makin nyaman digunakan sehari hari karna banyak fiturnya. saya udah pakai dari masih kelas 9 SMP sekarang udah 11 SMA. Terima kasih, appnya membantu mengenal dan mengelola emosi di masa remaja saya!",5
"Mau buka semua konten di riliv, ayoo gunakan referalku : 1bqO8Z Nikmati setiap konten yang menarik dan benefit banget apalagi buat kamu yang lagi butuh menenangkan dan mengheal diri sendiri sebagai pertolongan pertama kita 😆",5
Riliv membantuku mengenali diriku lebih dalam dan segala sumber masalahku. Meditasi dan jurnalnya membantuku sedikit demi sedikit untuk menenangkan pikiranku dan fokus pada tugas-tugasku,5
"Jadi yang saya rasakan saat pertama kali mencoba untuk program barunya yaitu meditasi yaitu ketenangan, relax dan menambah kefokusan kita. Bisa juga menenangkan diri mungkin yang lagi sumpek atau resah gelisah. Keren banget!!",5
Aplikasi ini bagus banget. Sering lihat di youtube orang2 dari negara lain menerapkan pembiasaan menulis diary. Dan sekarang saya mengerti manfaatnya untuk diri saya. Makasih banget buat yang bikin apk ini. Pertahankan dan semoga tambah maju.,5
"Aplikasi ini membantu banget buat kalian yg ingin relax. Aplikasi ini ada 1 sesi (10 setps) yg akan free, jika ingin unlocked kalian hanya perlu mengupgrade dengan membayar. 10Q Semangat 🌈 Have a nice day!",5
Hari ketiga download riliv. Alhamdulillah langsung langganan paket meditasi setahun. Lumayan jadi reminder dan journal saat gabisa cerita ke orang lain. Thanks founder and all staff for creating this amazing app ❤️ God bless you all,5
"BgYfcQ pake kode ini biar km bisa nikmatin promonya. Jujur sih ini aplikasi bagus banget untuk kamu yang peduli dengan kesehatan mental dirimu sendiri, aku baru pake sehari tapi udah bisa lebih tenang dengan nikmatin fitur meditasi. Terimakasih",5
"Terimakasih RILIV berkat fitur-fiturnya yg menarik dan membantu saya untuk lebih baik dalam menjaga dan mengontrol emosi yg kadang muncul tanpa sebab. Sayangnya saya belum bisa memakai fitur chat konselor, karena saya tidak punya uang 😂 semoga kedepannya aplikasi ini tetap memberi manfaat bagi penggunanya",5
Thank buat yang bikin aplikasi jadi lebih mudah mengkontrol emosi dan menghadapi kekecewaan dalam hidup. Smoga berkah buat yang bikin aplikasi ini karna sangat membantu banyak pihak termasuk saya,5
"Makasih banyak riliv.aku suka banget sama aplikasinya dan semua meditasi yg ada di riliv. Sumpah jadi relax,bawaanya besok jadi semangat jalanin aktivitas karna habis denger meditasi meditasinya❤❤❤❤",5
"Terimakasih sudah nyiptain aplikasi ini. Jadi bisa nulis tentang keluh kesah, suka duka setiap hari dan tanpa dibaca orang lain. Dan saya jadi bisa baca di lain waktu buat reminder.",5
menurut saya aplikasi ini sangat membantu kita agar lebih tenang dan menyelesaikan masalah kita saran untuk aplikasi ini alangkah baiknya meditasi dilakukan dalam kondisi diam tanpa ada suara tiba tiba,5
"Sangat membuatku menjadi lebih mengenal diriku. Aku menjadi tau apa tujuan hidupku. Aplikasi ini sangat membantu menjaga pikiranku agar lebih tenang. Untuk kalian semoga yang membaca ini, selamat anda telah menemukan aplikasi yang akan membuat hidupmu lebih baik jika kamu mau berusaha. Terimakasih untuk tim yang telah memciptakan aplikasi ini🥰❣",5
"Bagus banget aplikasinya, fitur-fitur yang ada juga sangat menarik. Untuk kamu pengguna baru, bisa gunakan kode referalku ""eGpYiI""",5
Aplikasi yg membantu membuat saya memulai aktivitas dengan perasaan yg baik dan positif. Terimakasihh. Tingkatkan terus pelayanan agar kami pengguna merasa selalu nyaman menggunakan aplikasi ini.,5
Aplikasi ini cocok banget bagi kalian yang stres karena masalah berturut turut dan ada beberapa hal yang belum bisa diatasi karena kalian akan menahap masa meditasi yang lembut dan jernih pikiran kalian akan jernih,5
"setelah coba meditasi dasar yang ada di riliv, entah kenapa jadi adem banget abis dengerin meditasinya. jadi pengen coba terus",5
Sangat membantu terimakasih,5
"terima kasih saya sangat puas dengan layanan yg diberikan, membantu saya membuka fikiran akan masalah yg sedang saya hadapi sekarang , psikolog sangat cepat tanggap dan bahasa yg dapat diterima, meski waktu sudah lewat 1 jam tapi tidak cepat2 ditutup sampe customer merasa benar2 puas.",5
Aplikasi yang sangat bermanfaat untuk saya yang punya gangguan kecemasan dan sering mengalami kesulitan dalam berkonsentrasi. Keren lah 👏👍🏼,5
BAmwJg Pakai kode ini agar kamu bisa nikmati promo nya. Aku suka aplikasi ini bikin pikiran lebih tenang dan rasa kantuk pun datang lebih cepat. Rileks.,5
"Rekomended bgt, baru coba meditasi skali aja udah suka.. yuk ikutan gabung, pke kode refferal ini eIMltB biar free 7 hari. Pgn nyoba konselingnya tp byr, gk ada free trialnya kah?? Hehe..",5
"aplikasi membantu mental lbh baik, buat tempat cerita dan diberi semangat-semangat juga. recommended untuk yang butuh tempat cerita dan masukan kalau ga punya tmn/doi👍🏻",5
Aplikasi ini sudah sangat bagus tapi tolong di update selanjutnya buat paket yang lebih murah atau paket 1 bulannya dulu kalau 3 bulan saya kurang sanggup,5
"Sukaa bangett sama app riliv!!💚💚 dari dulu suka nyari2 app meditasi tapi yang pake bahasa indonesia gaada, sekarang ada riliv. Terima kasih banyakk!!",5
ka udah download mau konsultasi tapi pas buka app nya layarnya ga bisa dibalik 😭 padahal mau tanya banyak boleh minta kontak whatsapp salah satu konsultan psikolog nya aja boleh nggak kakaa 😢,5
"suka banget apk nya❤️ aku punya insom parah sampe seharian ga tidur pun bisa, tapi pas nyoba meditasi tidur, aku akhirnya bisa tidur dibawah jam 12! membantu banget😭❤️✨",5
"Baru dua hari pakai. Kalo lagi sedih , cemas, kecewa, marah lari kesini dengerin meditasi atau sekedar cerita dan isi jurnal singkat. Temen temen bisa pake kode referall aku ""geaisI"" supaya bisa nikmatin lebih banyak fitur. Sehat sehat yaa semuaaa 💕",5
